SEQN,PAXDAYD,PAXDAYWD,PAXSSNDP,PAXMSTD,PAXTMD,PAXAISMD,PAXVMD,PAXMTSD,PAXWWMD,PAXSWMD,PAXNWMD,PAXUMD,PAXLXSD,PAXQFD
62171.0,b'7',b'6',37872000.0,b' 0:00:00',1440.0,2498736.0,1434.0,18315.607,986.0,389.0,5.397605346934028e-79,59.0,589480.3900000001,6.0
62171.0,b'8',b'7',44784000.0,b' 0:00:00',1440.0,2904498.0,1440.0,10767.28,824.0,522.0,5.397605346934028e-79,94.0,113203.27,5.397605346934028e-79
62171.0,b'9',b'1',51696000.0,b' 0:00:00',760.0,3013006.0,760.0,670.3199999999999,36.0,647.0,49.0,28.0,310.64000000000004,5.397605346934028e-79
62172.0,b'1',b'5',5.397605346934028e-79,b'12:30:00',690.0,1378619.0,690.0,6043.846,472.0,168.0,5.397605346934028e-79,50.0,144548.54,5.397605346934028e-79
62172.0,b'2',b'6',3312000.0,b' 0:00:00',1440.0,2440137.0,1440.0,7656.722,320.0,384.0,691.0,45.0,193679.73000000004,5.397605346934028e-79
62172.0,b'3',b'7',10224000.0,b' 0:00:00',1440.0,3760111.0,1440.0,8858.981,430.0,398.0,585.0,27.0,121719.38999999998,5.397605346934028e-79
62172.0,b'4',b'1',17136000.0,b' 0:00:00',1440.0,5609476.0,1440.0,81.20199999999998,5.397605346934028e-79,5.397605346934028e-79,1440.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
62172.0,b'5',b'2',24048000.0,b' 0:00:00',1440.0,5757995.0,1440.0,77.115,5.397605346934028e-79,5.397605346934028e-79,1439.0,1.0,5.397605346934028e-79,5.397605346934028e-79
62172.0,b'6',b'3',30960000.0,b' 0:00:00',1440.0,6877530.0,1440.0,32.724000000000004,5.397605346934028e-79,5.397605346934028e-79,1440.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
62172.0,b'7',b'4',37872000.0,b' 0:00:00',1440.0,6822499.0,1440.0,40.324,5.397605346934028e-79,5.397605346934028e-79,1440.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
62172.0,b'8',b'5',44784000.0,b' 0:00:00',1440.0,6909760.0,1440.0,48.525,5.397605346934028e-79,5.397605346934028e-79,1440.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
62172.0,b'9',b'6',51696000.0,b' 0:00:00',760.0,3495102.0,760.0,137.54299999999998,3.0,5.397605346934028e-79,754.0,3.0,17386.460000000003,5.397605346934028e-79
62174.0,b'1',b'6',5.397605346934028e-79,b'17:30:00',390.0,697416.0,390.0,2107.758,292.0,70.0,5.397605346934028e-79,28.0,12107.94,5.397605346934028e-79
62174.0,b'2',b'7',1872000.0,b' 0:00:00',1440.0,3224567.0,1440.0,7684.058999999998,861.0,473.0,5.397605346934028e-79,106.0,38087.7,5.397605346934028e-79
62174.0,b'3',b'1',8784000.0,b' 0:00:00',1440.0,2933351.0,1437.0,9295.438,896.0,464.0,5.397605346934028e-79,77.0,62381.41000000002,3.0
62174.0,b'4',b'2',15696000.0,b' 0:00:00',1440.0,3337775.0,1440.0,7011.950999999999,805.0,554.0,5.397605346934028e-79,81.0,85818.08,5.397605346934028e-79
62174.0,b'5',b'3',22608000.0,b' 0:00:00',1440.0,2941978.0,1440.0,7940.297000000001,887.0,454.0,5.397605346934028e-79,99.0,70559.52999999998,5.397605346934028e-79
62174.0,b'6',b'4',29520000.0,b' 0:00:00',1440.0,2521130.0,1440.0,10850.97,954.0,441.0,5.397605346934028e-79,45.0,261071.4100000001,5.397605346934028e-79
62174.0,b'7',b'5',36432000.0,b' 0:00:00',1440.0,2961859.0,1440.0,8691.837,861.0,520.0,5.397605346934028e-79,59.0,111959.21,5.397605346934028e-79
62174.0,b'8',b'6',43344000.0,b' 0:00:00',1440.0,2852002.0,1440.0,10835.629,865.0,448.0,79.0,48.0,211761.31000000003,5.397605346934028e-79
